菜品名称,门店数,销量,销售额,均价,主食材,主辅佐引,原始分类,工业采购饮料,累计销售额占比%
配送费,3,175,875.0,5.0,其他,,其他,否,99.96
香油,10,824,824.0,1.0,酱料类,佐,酱料类,否,99.97
汾酒20年,1,1,780.0,780.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,99.97
嫩牛肉（涮12秒）.,7,26,754.0,29.0,牛肉,主,自营鲜牛肉,否,99.97
海之蓝,2,3,714.0,238.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,99.97
奔富寇兰山,1,3,660.0,220.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,99.97
套餐换牛大力牛骨清汤,10,65,650.0,10.0,必点锅底,辅,必点锅底,否,99.97
潮发南澳头水紫菜礼盒,5,5,640.0,128.0,蔬菜及配菜,,其他,否,99.97
名仕（700ml）,2,1,590.0,590.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,99.97
酱油,10,589,589.0,1.0,酱料类,佐,酱料类,否,99.98
F1 鲜和牛（半斤）.,2,6,588.0,98.0,牛肉,主,自营斤选牛肉,否,99.98
湿炒牛肉粿条.,8,18,576.0,32.0,牛肉,,自营汤炒粉,否,99.98
潮宝矿泉水（大）,7,94,564.0,6.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,99.98
【单人套餐】鲜牛丸+嫩牛肉,1,6,516.0,86.0,牛肉,辅,自营套餐,否,99.98
电锅,3,13,507.0,39.0,其他,,其他,否,99.98
轩尼诗VSOP（350ml）,1,1,498.0,498.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,99.98
牛筋丸500g真空包装,4,8,480.0,60.0,牛肉,辅,牛丸牛杂,否,99.98
肥牛肉（涮16秒）.,6,13,429.0,33.0,牛肉,主,自营鲜牛肉,否,99.98
牛丸粿条汤,1,14,420.0,30.0,牛肉,引,主食,否,99.98
至尊牛丸（6粒 煮5分钟）.,5,12,408.0,34.0,牛肉,辅,自营牛丸牛杂,否,99.99
陈醋,10,383,383.0,1.0,酱料类,佐,酱料类,否,99.99
泸州老窖紫砂大曲（500ml）,2,1,378.0,378.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,99.99
华农原实桑果汁300ml,2,31,372.0,12.0,华农原实酸奶,,华农原实酸奶,是,99.99
劲酒中（258ML）,2,13,364.0,28.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,99.99
小糊涂仙（100ML）,3,18,360.0,20.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,99.99
百威罐装500ml,3,34,340.0,10.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,99.99
时蔬.,9,37,336.0,9.0,蔬菜及配菜,佐,自营营养配菜,否,99.99
小蓝妹300ml（瓶装）,4,25,325.0,13.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,99.99
F1 鲜和牛.,5,8,319.2,39.9,牛肉,主,自营鲜牛肉,否,99.99
牛肉丸（一斤）.,3,5,300.0,60.0,牛肉,主,自营斤选牛肉,否,99.99
小糊涂仙（250ML）,1,3,294.0,98.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,99.99
老干妈,10,279,279.0,1.0,酱料类,佐,酱料类,否,99.99
泸州老窖头曲,1,2,276.0,138.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,99.99
四特青花,1,2,276.0,138.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,99.99
炸腐竹.,5,15,225.0,15.0,蔬菜及配菜,佐,自营营养配菜,否,100.0
头水紫菜.,6,12,192.0,16.0,蔬菜及配菜,佐,自营营养配菜,否,100.0
大百年糊涂,2,2,176.0,88.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,100.0
罐装沙茶酱.,9,21,168.0,8.0,自营酱料类,佐,自营酱料类,否,100.0
无糖可口可乐,7,33,165.0,5.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,100.0
非遗黑豆花.,7,8,130.0,16.0,蔬菜及配菜,佐,自营营养配菜,否,100.0
潮发蒜头酥,1,13,128.7,9.9,其他,,其他,否,100.0
干炒牛肉粿条.,1,4,128.0,32.0,牛肉,,自营汤炒粉,否,100.0
潮汕普宁豆干.,5,9,124.2,13.8,蔬菜及配菜,佐,自营营养配菜,否,100.0
劲酒大（520ML）,1,2,120.0,60.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,100.0
牛丸（10粒 煮4分钟）.,4,4,116.0,29.0,牛肉,辅,自营牛丸牛杂,否,100.0
华农原实纯牛奶200ml,1,23,115.0,5.0,华农原实酸奶,,华农原实酸奶,是,100.0
牛丸（半份6粒 煮4分钟）.,3,6,114.0,19.0,牛肉,辅,自营牛丸牛杂,否,100.0
蚝油,10,188,94.0,0.5,酱料类,佐,酱料类,否,100.0
幸运蟹皇面.,6,12,79.2,6.6,米面,引,自营主食,否,100.0
萝卜.,4,9,72.0,8.0,蔬菜及配菜,佐,自营营养配菜,否,100.0
生鸡蛋,3,26,52.0,2.0,蔬菜及配菜,佐,其他,否,100.0
辣椒酱,1,41,41.0,1.0,酱料类,佐,酱料类,否,100.0
蒜蓉.,8,40,40.0,1.0,自营酱料类,佐,自营酱料类,否,100.0
补差价0.1,9,400,40.0,0.1,其他,,其他,否,100.0
麻辣大满贯冒菜,1,1,39.9,39.9,蔬菜及配菜,辅,外卖套餐,否,100.0
酱油.,7,37,37.0,1.0,自营酱料类,佐,自营酱料类,否,100.0
（套餐）至尊牛丸*4+牛丸*4,1,1,36.6,36.6,牛肉,辅,套餐菜品,否,100.0
火锅组合酱料,8,35,35.0,1.0,其他,,其他,否,100.0
小米椒.,6,33,33.0,1.0,自营酱料类,佐,自营酱料类,否,100.0
王老吉310ml.,2,6,30.0,5.0,自营饮料,,自营饮料,是,100.0
葱花.,7,28,28.0,1.0,自营酱料类,佐,自营酱料类,否,100.0
沙茶酱.,5,27,27.0,1.0,自营酱料类,佐,自营酱料类,否,100.0
椰子汁.,5,5,25.0,5.0,自营饮料,,自营饮料,是,100.0
香菜.,6,24,24.0,1.0,蔬菜及配菜,佐,自营酱料类,否,100.0
芹菜.,7,21,21.0,1.0,蔬菜及配菜,佐,自营酱料类,否,100.0
（套餐）光南村豆腐,1,1,16.0,16.0,蔬菜及配菜,辅,套餐菜品,否,100.0
（套餐）非遗黑豆花,1,1,16.0,16.0,蔬菜及配菜,辅,套餐菜品,否,100.0
香油.,6,15,15.0,1.0,自营酱料类,佐,自营酱料类,否,100.0
炸蒜蓉.,5,9,9.0,1.0,自营酱料类,佐,自营酱料类,否,100.0
补差价0.01,9,124,1.24,0.01,其他,,其他,否,100.0
陈醋.,2,1,1.0,1.0,自营酱料类,佐,自营酱料类,否,100.0
老干妈.,1,1,1.0,1.0,自营酱料类,佐,自营酱料类,否,100.0
老干妈..,1,1,0.5,0.5,酱料类,佐,酱料类,否,100.0
芹菜..,1,1,0.5,0.5,蔬菜及配菜,佐,酱料类,否,100.0
潮发OK手提包,5,5,0.05,0.01,其他,,其他,否,100.0
长寿面,2,2,0.0,0.0,米面,引,主食,否,100.0
需要酱料（下单标配送沙茶酱与辣椒酱）,1,337,0.0,0.0,其他,,其他,否,100.0
需要酱料（按下单数量配酱料，多点不提供；其他酱料自行下单）,10,14703,0.0,0.0,酱料类,佐,酱料类,否,100.0
需要酱料（下单标配送沙茶酱与辣椒酱）.,9,151,0.0,0.0,自营酱料类,佐,自营酱料类,否,100.0
无需酱料,10,6248,0.0,0.0,酱料类,佐,酱料类,否,100.0
套餐酸奶换可乐,3,73,0.0,0.0,线下套餐,辅,线下套餐,否,100.0
无需酱料.,1,2,0.0,0.0,自营酱料类,佐,自营酱料类,否,100.0
湿炒牛肉粿条+牛丸汤.,1,0,0.0,38.0,牛肉,,自营汤炒粉,否,100.0
潮发南澳头水紫菜礼盒.,1,0,0.0,128.0,蔬菜及配菜,辅,自营套餐,否,100.0
国窖1573,1,0,0.0,1288.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,100.0
半份玉米（cd）,1,0,0.0,8.0,蔬菜及配菜,辅,套餐菜品,否,100.0
赠送可乐,1,13,0.0,0.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,100.0
赠送酸梅汁（1扎）,1,1,0.0,0.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,100.0
赠送鸭屎香（1杯）,5,562,0.0,0.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,100.0
轩尼诗,1,0,0.0,540.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,100.0
赠送柠檬茶（1扎）,1,227,0.0,0.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,100.0
F1 鲜和牛2人餐（广佛深）,1,0,0.0,177.4,线上套餐,辅,线上套餐,否,100.0
19.9潮发小黄车,2,56,0.0,0.0,其他,,其他,否,100.0
53珍酒500ml,2,0,0.0,280.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,100.0
（套餐）罐装沙茶酱,1,0,0.0,12.0,蔬菜及配菜,辅,套餐菜品,否,100.0
（套餐）生牛丸,1,0,0.0,34.0,牛肉,辅,套餐菜品,否,100.0
